Date,Submitted,Verified,Primary_t,Realtime_t
2024-02-15,2024-02-15T21:26:23Z,verified,3476,3476
2024-02-10,2024-02-11T04:44:28Z,verified,9386,9386
2024-02-07,2024-01-29T12:37:27Z,verified,4530,4530
2024-02-01,2024-02-01T05:16:17Z,verified,3417,3417
2024-01-28,2024-01-28T09:41:58Z,verified,10170,10170
2024-01-28,2024-01-26T03:51:37Z,verified,3342,3342
2024-01-24,2024-01-27T05:24:13Z,verified,5606,5606
2024-01-20,2024-01-20T07:04:43Z,verified,3478,3478
2024-01-17,2024-01-18T11:46:34Z,verified,5320,5320
2024-01-15,2024-01-15T19:28:27Z,verified,5525,5525
2024-01-15,2024-01-15T12:58:27Z,verified,6913,6913
2024-01-12,2024-01-12T04:43:42Z,verified,3871,3871
2024-01-11,2024-01-03T21:58:07Z,verified,3536,3536
2024-01-11,2024-01-11T00:32:09Z,verified,8332,8332
2024-01-10,2024-01-10T19:51:29Z,verified,6364,6364
2024-01-10,2024-01-10T09:08:06Z,verified,2878,2878
2024-01-08,2024-01-08T12:18:20Z,verified,3939,3939
2024-01-07,2024-01-07T19:10:50Z,verified,5195,5195
2024-01-07,2024-01-07T02:03:27Z,verified,1441,1441
2024-01-06,2024-01-06T01:58:28Z,verified,3557,3557
2024-01-03,2024-01-03T22:55:08Z,verified,4595,4595
2024-01-03,2024-01-03T21:24:53Z,verified,13020,13020
2024-01-03,2024-01-04T17:13:39Z,verified,3520,3520
2023-12-30,2023-12-31T14:38:09Z,verified,260,260
2023-12-29,2024-01-21T22:09:11Z,verified,5202,5202
2023-12-27,2023-12-29T23:01:57Z,verified,3656,3656
2023-12-26,2023-12-26T23:26:59Z,verified,16966,16966
2023-12-26,2023-12-29T04:26:25Z,verified,309,309
2023-12-26,2023-12-27T00:47:30Z,verified,6836,6836
2023-12-25,2023-12-25T21:45:47Z,verified,5726,5726
2023-12-24,2023-12-24T05:38:48Z,verified,1255,1255
2023-12-24,2023-12-27T18:38:07Z,verified,3859,3859
2023-12-23,2023-12-24T21:39:29Z,verified,6465,6465
2023-12-20,2023-12-20T18:07:58Z,verified,6917,6917
2023-12-20,2023-12-20T02:29:21Z,verified,4118,4118
2023-12-19,2023-12-19T15:39:32Z,verified,9256,9256
2023-12-16,2023-12-16T16:03:26Z,verified,3238,3238
2023-12-16,2023-12-18T20:19:53Z,verified,4107,4107
2023-12-15,2023-12-15T10:26:39Z,verified,4917,4917
2023-12-15,2023-12-21T17:04:23Z,verified,3511,3511
2023-12-12,2023-12-12T22:18:03Z,verified,4409,4409
2023-12-12,2023-12-14T23:25:56Z,verified,6538,6538
2023-12-06,2023-12-07T09:50:23Z,verified,7185,7185
2023-12-06,2023-12-08T04:31:15Z,verified,6542,6542
2023-11-30,2023-12-01T01:56:14Z,verified,3663,3663
2023-11-29,2023-11-30T01:50:23Z,verified,6543,6543
2023-11-27,2023-11-27T00:08:54Z,verified,4790,4790
2023-11-25,2023-11-25T02:01:19Z,verified,3542,3542
2023-11-22,2023-11-22T19:48:04Z,verified,3927,3927
2023-11-22,2023-11-22T11:34:18Z,verified,4886,4886
2023-11-22,2023-11-22T00:02:12Z,verified,3722,3722
2023-11-19,2023-11-20T12:53:42Z,verified,3301,3301
2023-11-18,2023-11-18T14:08:46Z,verified,3674,3674
2023-11-18,2023-11-19T10:53:09Z,verified,6558,6558
2023-11-17,2023-11-17T13:30:09Z,verified,3601,3601
2023-11-14,2023-11-19T22:46:12Z,verified,6462,6462
2023-11-13,2023-11-13T20:35:15Z,verified,4231,4231
2023-11-13,2023-12-09T02:28:16Z,verified,5890,5890
2023-11-10,2023-11-10T20:13:50Z,verified,5174,5174
2023-11-10,2023-11-10T18:20:07Z,verified,6749,6749
2023-11-10,2023-11-10T02:03:12Z,verified,4025,4025
2023-11-09,2023-11-09T11:12:57Z,verified,6061,6061
2023-11-09,2023-11-19T10:48:24Z,verified,6603,6603
2023-11-09,2023-11-08T14:35:09Z,verified,3672,3672
2023-11-07,2023-11-07T22:52:01Z,verified,3664,3664
2023-10-28,2023-10-28T09:30:48Z,verified,3833,3833
2023-10-27,2023-10-27T18:43:37Z,verified,5938,5938
2023-10-25,2023-10-25T15:57:46Z,verified,1170,1170
2023-10-23,2023-10-22T21:46:52Z,verified,3780,3780
2023-10-22,2023-10-22T19:20:10Z,verified,6616,6616
2023-10-19,2023-10-19T23:59:45Z,verified,1478,1478
2023-10-17,2023-10-17T20:16:14Z,verified,3442,3442
2023-10-16,2023-10-16T10:20:38Z,verified,5151,5151
2023-10-10,2023-10-10T22:23:54Z,verified,7327,7327
2023-10-10,2023-10-10T06:31:53Z,verified,1536,1536
2023-10-07,2023-10-07T17:46:51Z,verified,3988,3988
2023-10-07,2023-10-07T00:53:12Z,verified,1609,1609
2023-10-06,2023-10-06T03:10:28Z,verified,1702,1702
2023-10-01,2023-10-01T12:31:54Z,verified,4414,4414
2023-10-01,2023-10-01T05:28:35Z,verified,3972,3972
2023-10-01,2023-10-01T01:03:42Z,verified,14382,14382
2023-09-28,2023-09-25T15:49:42Z,verified,7309,7309
2023-09-27,2023-09-30T21:32:33Z,verified,13647,13647
2023-09-25,2023-09-25T08:50:50Z,verified,6779,6779
2023-09-24,2023-09-26T23:44:24Z,verified,7111,7111
2023-09-22,2023-09-22T22:07:51Z,verified,5453,5453
2023-09-22,2023-09-22T21:00:07Z,verified,3510,3510
2023-09-22,2023-09-22T11:04:20Z,verified,1278,1278
2023-09-18,2023-09-18T16:10:00Z,verified,6116,6116
2023-09-18,2023-09-18T11:31:05Z,verified,3634,3634
2023-09-16,2023-09-17T10:23:34Z,verified,4067,4067
2023-09-14,2023-09-14T23:02:57Z,verified,3751,3751
2023-09-14,2023-09-16T11:10:08Z,verified,3316,3316
2023-09-14,2023-09-14T19:38:09Z,verified,3520,3520
2023-09-13,2023-09-13T12:04:21Z,verified,3318,3318
2023-09-12,2023-09-13T01:26:37Z,verified,1822,1822
2023-09-11,2023-09-13T12:19:50Z,verified,3357,3357
2023-09-11,2023-09-11T13:32:59Z,verified,3521,3521
2023-09-10,2023-09-11T04:13:52Z,verified,4202,4202
2023-09-07,2023-09-07T02:23:18Z,verified,4259,4259
2023-09-04,2023-09-04T18:21:42Z,verified,7781,7781
2023-09-02,2023-09-02T06:11:51Z,verified,3430,3430
2023-08-29,2023-08-31T09:02:27Z,verified,3334,3334
2023-08-27,2023-10-28T16:02:43Z,verified,10146,10146
2023-08-26,2023-08-26T23:28:30Z,verified,3888,3888
2023-08-26,2023-08-27T22:40:25Z,verified,29371,29371
2023-08-25,2023-08-25T07:46:26Z,verified,2328,2328
2023-08-22,2023-08-22T07:40:44Z,verified,2477,2477
2023-08-21,2023-08-21T20:22:31Z,verified,35334,35334
2023-08-20,2023-08-23T22:11:45Z,verified,3370,3370
2023-08-17,2023-08-17T16:45:58Z,verified,8122,8122
2023-08-17,2023-08-18T03:57:48Z,verified,4660,4660
2023-08-15,2023-08-17T08:17:31Z,verified,6942,6942
2023-08-15,2023-08-15T09:14:39Z,verified,4935,4935
2023-08-12,2023-08-15T17:12:39Z,verified,4455,4455
2023-08-12,2023-08-12T12:42:41Z,verified,1205,1205
2023-08-10,2023-08-19T00:56:13Z,verified,4143,4143
2023-08-09,2023-08-09T11:51:58Z,verified,1452,1452
2023-08-09,2023-08-09T11:19:47Z,verified,1227,1227
2023-08-08,2023-08-08T06:26:55Z,verified,3464,3464
2023-08-07,2023-08-09T08:21:07Z,verified,6974,6974
