Date,Submitted,Verified,Primary_t,Realtime_t,Category
2022-03-17,2022-03-26T17:05:58Z,verified,2079,2079,Any%
2022-03-18,2022-03-27T22:39:38Z,verified,1715,1715,Any%
2022-03-20,2022-03-25T06:09:10Z,verified,1644,1644,Any%
2022-03-22,2022-03-25T02:25:10Z,verified,2402,2402,Any%
2022-03-22,2022-03-26T14:50:15Z,verified,1798,1798,Any%
2022-03-23,2022-03-25T08:48:54Z,verified,1935,1935,Any%
2022-03-23,2022-03-25T14:47:23Z,verified,2317,2317,Any%
2022-03-24,2022-03-25T04:11:54Z,verified,1926,1926,Any%
2022-03-24,2022-03-25T05:38:09Z,verified,1688,1688,Any%
2022-03-24,2022-03-25T09:50:43Z,verified,2665,2665,Any%
2022-03-25,2022-03-25T11:06:29Z,verified,1698,1698,Any%
2022-03-25,2022-03-25T13:18:23Z,verified,1693,1693,Any%
2022-03-25,2022-03-25T14:02:24Z,verified,1747,1747,Any%
2022-03-25,2022-03-25T19:42:15Z,verified,2455,2455,Any%
2022-03-25,2022-03-26T03:10:52Z,verified,1763,1763,Any%
2022-03-26,2022-03-25T22:01:43Z,verified,1740,1740,Any%
2022-03-26,2022-03-26T07:47:33Z,verified,2629,2629,Any%
2022-03-26,2022-03-26T07:54:06Z,verified,1611,1611,Any%
2022-03-26,2022-03-26T13:42:40Z,verified,2389,2389,Any%
2022-03-26,2022-03-26T18:50:15Z,verified,2296,2296,Any%
2022-03-27,2022-03-27T05:01:49Z,verified,1604,1604,Any%
2022-03-27,2022-03-27T09:49:27Z,verified,2586,2586,Any%
2022-03-27,2022-03-27T10:21:40Z,verified,1586,1586,Any%
2022-03-27,2022-03-27T12:49:45Z,verified,1923,1923,Any%
2022-03-27,2022-03-27T14:04:02Z,verified,1742,1742,Any%
2022-03-27,2022-03-27T15:15:06Z,verified,2709,2709,Any%
2022-03-27,2022-03-27T18:31:17Z,verified,2091,2091,Any%
2022-03-27,2022-03-28T01:31:18Z,verified,1662,1662,Any%
2022-03-28,2022-03-27T23:18:04Z,verified,2142,2142,Any%
2022-03-28,2022-03-28T01:34:51Z,verified,1591,1591,Any%
2022-03-28,2022-03-28T09:28:15Z,verified,2555,2555,Any%
2022-03-28,2022-03-28T15:51:00Z,verified,1831,1831,Any%
2022-03-28,2022-03-28T17:55:45Z,verified,2479,2479,Any%
2022-03-28,2022-03-28T20:28:26Z,verified,2446,2446,Any%
2022-03-28,2022-03-29T05:35:36Z,verified,2367,2367,Any%
2022-03-29,2022-03-29T05:54:04Z,verified,1719,1719,Any%
