,Game,Top Category,Number of runs to efficiency point,Total runs,Date of efficiency,Score at efficiency,Latest Top Score,Percentage of runs complete at efficiency,Number of days to the efficiency point,Total number of days,Percentage of days to efficiency
0,ultrakill,Any%,76,8488,2020-07-28,0.814984276915677,0.481,0.8953817153628653,227,1541,14.73069435431538
0,elden_ring,Any%,232,268,2022-08-24,1206.7762104632093,1170,86.56716417910447,160,709,22.566995768688294
0,gmd,Beat The Level,75,1478,2022-12-03,15.057100495531298,1.0,5.074424898511502,2349,2807,83.68364802280014
0,Lethal_Company,1 Quota,40,668,2023-11-25,112.84211107269178,106.69,5.9880239520958085,11,112,9.821428571428571
0,celeste,Clear,2800,10000,2020-06-21,54.547149840901284,52.921,28.000000000000004,878,1971,44.54591577879249
0,One_Armed_Robber,Solo,2,695,2023-12-18,30.93343287563593,27.3,0.28776978417266186,1,79,1.2658227848101267
0,ps99,Glitchless,623,632,2024-02-23,17.302798999530797,0.001,98.57594936708861,83,87,95.40229885057471
0,ppt_c1,PC,207,2460,2022-01-21,273.9603907287843,273.5,8.414634146341465,91,858,10.606060606060606
0,portal,Glitchless,484,5811,2018-02-25,858.6581017653824,18.255,8.329031147823095,1099,3296,33.34344660194174
0,Buckshot_Roulette,Any%,78,220,2024-01-10,333.28299931879064,333.283,35.45454545454545,12,60,20.0
0,goiwbf,Glitchless,1136,10761,2018-02-16,91.26176198687796,2.827,10.556639717498374,131,2336,5.607876712328768
0,bo3zombies,Der Eisendrache,88,403,2021-05-05,65.78199724518339,48.9,21.83622828784119,1351,2385,56.645702306079656
0,hollowknight,Any%,1472,4373,2020-12-23,588.1817347469851,276.48,33.66110221815688,1381,2538,54.41292356185973
0,pizza_tower,Any%,282,3267,2023-02-16,2060.210353986922,58.967,8.631772268135904,20,402,4.975124378109453
0,cuphead,Any% - No DLC,204,3779,2017-10-10,14.038585656426081,12.0,5.398253506218576,10,2344,0.42662116040955633
0,ready_or_not,Individual Levels,5,754,2023-12-16,45.06816535208239,30.0,0.6631299734748011,2,82,2.4390243902439024
0,destiny2,Solo,2,878,2018-10-09,150.03739430515606,108.0,0.22779043280182232,24,1996,1.2024048096192386
0,ffxiv,Solo,115,2592,2018-06-23,1.401028060844311,1,4.436728395061729,631,2710,23.284132841328415
0,portal_2,Single Player,1890,4152,2021-01-17,2102.5552672710583,2245.05,45.52023121387283,2848,3990,71.37844611528821
0,60_seconds_reatomized,The Longest Survival,4,197,2021-04-18,0.026977140905798072,0.011,2.030456852791878,24,1068,2.247191011235955
